Country,MSISDN,Type,Features,Status,Purchase Date,Cancel Date,Price (EUR)
US,12012010632,mobile-lvn,"VOICE, MMS, SMS",Active,2026-02-25 00:00:00,,0.93
US,12012010638,mobile-lvn,"VOICE, MMS, SMS",Active,2025-12-03 00:00:00,,0.93
US,12012010684,mobile-lvn,"VOICE, MMS, SMS",Active,2026-02-25 00:00:00,,0.93
US,12012010722,mobile-lvn,"VOICE, MMS, SMS",Active,2026-02-25 00:00:00,,0.93
US,12012010736,mobile-lvn,"VOICE, MMS, SMS",Active,2026-02-25 00:00:00,,0.93
US,12012010791,mobile-lvn,"VOICE, MMS, SMS",Active,2026-02-25 00:00:00,,0.93
US,12012010857,mobile-lvn,"VOICE, MMS, SMS",Active,2026-02-25 00:00:00,,0.93
US,12012010877,mobile-lvn,"VOICE, MMS, SMS",Active,2026-02-25 00:00:00,,0.93
US,12012010983,mobile-lvn,"VOICE, MMS, SMS",Active,2026-02-25 00:00:00,,0.93
US,12012015022,mobile-lvn,"VOICE, MMS, SMS",Active,2026-02-25 00:00:00,,0.93
US,12012032945,mobile-lvn,"VOICE, MMS, SMS",Active,2026-02-25 00:00:00,,0.93
US,12012051315,mobile-lvn,"VOICE, MMS, SMS",Active,2026-02-25 00:00:00,,0.93
US,12012108243,mobile-lvn,"VOICE, MMS, SMS",Active,2026-02-25 00:00:00,,0.93
US,12012108284,mobile-lvn,"VOICE, MMS, SMS",Cancelled,2025-12-03 00:00:00,2026-03-11 00:00:00,0.93
US,12012108410,mobile-lvn,"VOICE, MMS, SMS",Active,2025-12-03 00:00:00,,0.93
US,12012108741,mobile-lvn,"VOICE, MMS, SMS",Active,2026-02-25 00:00:00,,0.93
US,12012108874,mobile-lvn,"VOICE, MMS, SMS",Active,2026-02-25 00:00:00,,0.93
US,12012108895,mobile-lvn,"VOICE, MMS, SMS",Active,2026-02-25 00:00:00,,0.93
US,12012289883,mobile-lvn,"VOICE, MMS, SMS",Active,2025-12-03 00:00:00,,0.93
